Time (s),Temperature (C),Relative Humidity (%)
1275.5909609794617,22.0,99.0
1277.6163520812988,22.0,99.0
1279.645959854126,22.0,99.0
1281.6718649864197,22.0,99.0
1283.6977260112762,22.0,99.0
1285.7280991077423,22.0,99.0
1287.754529953003,22.0,99.0
1289.7808969020844,22.0,99.0
1291.8115739822388,22.0,99.0
1293.8382070064545,22.0,99.0
1295.8650059700012,22.0,99.0
1297.8958342075348,22.0,99.0
1299.9227850437164,22.0,99.0
1301.9498119354248,22.0,99.0
1303.980763912201,22.0,99.0
1306.0079979896545,22.0,99.0
1308.0351419448853,22.0,99.0
1310.066234111786,22.0,99.0
1312.0934898853302,22.0,99.0
1314.1205399036407,22.0,99.0
1316.1517469882965,22.0,99.0
1318.179024219513,22.0,99.0
1320.206470966339,22.0,99.0
1322.23774600029,22.0,99.0
1324.2648949623108,22.0,99.0
1326.2921409606934,22.0,99.0
1328.3195629119873,22.0,99.0
1330.3509240150452,22.0,99.0
1332.3783421516418,22.0,99.0
1334.4056551456451,22.0,99.0
1336.4368450641632,22.0,99.0
1338.4643540382385,22.0,99.0
1340.49165391922,22.0,99.0
1342.5232570171356,22.0,99.0
1344.5505871772766,22.0,99.0
1346.5779259204865,22.0,99.0
1348.6092290878296,22.0,99.0
1350.6366069316864,22.0,99.0
1352.663910150528,22.0,99.0
1354.6953358650208,22.0,99.0
1356.7226848602295,22.0,99.0
1358.7501640319824,22.0,99.0
1360.7815699577332,22.0,99.0
1362.80899310112,22.0,99.0
1364.8363809585571,22.0,99.0
1366.8676810264587,22.0,99.0
1368.8951289653778,22.0,99.0
1370.9224598407745,22.0,99.0
1372.9538538455963,22.0,99.0
1374.9812560081482,22.0,99.0
1377.0087759494781,22.0,99.0
1379.0400190353394,22.0,99.0
1381.0675041675568,22.0,99.0
1383.0949020385742,22.0,99.0
1385.1262981891632,22.0,99.0
1387.1536450386047,22.0,99.0
1389.1810290813446,22.0,99.0
1391.2124950885773,22.0,99.0
1393.239930152893,22.0,99.0
1395.2673048973083,22.0,99.0
1397.2986371517181,22.0,99.0
1399.326171875,22.0,99.0
1401.3534569740295,22.0,99.0
1403.3848609924316,22.0,99.0
1405.4122018814087,22.0,99.0
1407.439607143402,22.0,99.0
1409.4710688591003,22.0,99.0
1411.4985330104828,22.0,99.0
1413.525855064392,22.0,99.0
1415.557193994522,22.0,99.0
1417.5845618247986,22.0,99.0
1419.612056016922,22.0,99.0
